year,month,day,hour,O3_forecast,NO2_forecast,T_forecast,q_forecast,u_forecast,v_forecast,w_forecast,blh_forecast,NO2_satellite,HCHO_satellite,ratio_satellite,O3_target,NO2_target
2022.00,7.00,28.00,0.00,79.80,31.62,23.41,7.18,-0.94,1.02,1.01,92.89,,,,2.92,10.38
2022.00,7.00,28.00,1.00,98.98,33.98,24.17,7.20,-0.09,0.18,0.75,154.68,,,,2.40,7.90
2022.00,7.00,28.00,2.00,118.16,36.34,23.36,7.21,0.77,-0.65,0.49,87.44,,,,3.07,13.07
2022.00,7.00,28.00,3.00,137.33,38.70,23.99,7.22,1.62,-1.48,0.23,78.45,,,,3.65,12.78
2022.00,7.00,28.00,4.00,146.15,43.56,24.85,7.23,1.25,-1.24,0.30,97.19,,,,5.45,10.75
2022.00,7.00,28.00,5.00,154.97,48.43,26.38,7.24,0.88,-1.01,0.37,158.90,,,,8.47,7.95
2022.00,7.00,28.00,6.00,163.78,53.30,28.91,7.24,0.51,-0.78,0.44,191.66,,,,6.18,11.90
2022.00,7.00,28.00,7.00,160.73,54.38,27.97,7.46,0.63,-0.32,0.33,75.14,,,,13.15,9.63
2022.00,7.00,28.00,8.00,157.68,55.46,28.93,7.68,0.75,0.14,0.22,86.10,,,,16.25,11.05
2022.00,7.00,28.00,9.00,154.63,56.54,28.74,7.90,0.87,0.60,0.11,60.80,,,,15.12,15.80
2022.00,7.00,28.00,10.00,133.13,45.29,33.22,7.80,0.98,0.04,0.13,44.12,,,,14.25,15.05
2022.00,7.00,28.00,11.00,111.63,34.04,30.63,7.69,1.09,-0.53,0.14,48.70,,,,8.53,13.20
2022.00,7.00,28.00,12.00,90.13,22.79,32.68,7.59,1.19,-1.09,0.16,31.96,,,,3.55,16.00
2022.00,7.00,28.00,13.00,86.74,21.42,32.84,7.23,1.30,-1.24,0.74,94.66,,,,3.85,16.27
2022.00,7.00,28.00,14.00,83.35,20.05,29.82,6.87,1.41,-1.39,1.32,487.54,,,,5.45,13.45
2022.00,7.00,28.00,15.00,79.95,18.68,29.97,6.51,1.52,-1.54,1.90,246.31,,,,3.40,16.22
2022.00,7.00,28.00,16.00,82.89,23.51,28.52,6.67,2.04,-1.90,1.29,84.72,,,,2.55,15.22
