year,month,day,hour,O3_forecast,NO2_forecast,T_forecast,q_forecast,u_forecast,v_forecast,w_forecast,blh_forecast,NO2_satellite,HCHO_satellite,ratio_satellite
2024.00,5.00,5.00,0.00,0.03,88.14,21.63,11.25,-0.48,-2.14,0.80,32.23,,,
2024.00,5.00,5.00,1.00,14.07,72.83,19.79,10.84,-0.54,-0.80,1.03,28.04,,,
2024.00,5.00,5.00,2.00,28.10,57.52,19.78,10.43,-0.61,0.54,1.26,44.19,,,
2024.00,5.00,5.00,3.00,42.14,42.21,20.63,10.02,-0.67,1.88,1.49,55.62,,,
2024.00,5.00,5.00,4.00,30.96,52.81,20.09,9.72,-0.04,0.55,1.75,41.60,,,
2024.00,5.00,5.00,5.00,19.77,63.42,19.41,9.42,0.58,-0.77,2.01,23.97,,,
2024.00,5.00,5.00,6.00,8.59,74.03,19.05,9.11,1.21,-2.10,2.27,15.77,,,
2024.00,5.00,5.00,7.00,6.44,80.40,19.92,8.63,0.80,-2.19,2.38,26.89,,,
2024.00,5.00,5.00,8.00,4.29,86.76,20.13,8.14,0.38,-2.29,2.49,31.21,1.08,3.72,0.29
2024.00,5.00,5.00,9.00,2.15,93.13,20.54,7.65,-0.04,-2.38,2.59,14.33,,,
2024.00,5.00,5.00,10.00,3.92,87.82,21.53,8.04,0.60,-2.35,2.56,21.23,,,
2024.00,5.00,5.00,11.00,5.69,82.51,22.33,8.42,1.24,-2.32,2.53,32.72,,,
2024.00,5.00,5.00,12.00,7.46,77.20,23.39,8.80,1.87,-2.29,2.50,13.31,,,
2024.00,5.00,5.00,13.00,6.26,79.82,19.31,8.19,1.75,-2.29,2.44,34.68,,,
2024.00,5.00,5.00,14.00,5.05,82.43,19.63,7.59,1.63,-2.29,2.37,15.79,,,
2024.00,5.00,5.00,15.00,3.85,85.05,19.69,6.99,1.51,-2.28,2.31,17.87,,,
2024.00,5.00,5.00,16.00,2.60,89.61,18.55,6.81,1.43,-2.34,2.44,41.73,,,
2024.00,5.00,5.00,17.00,1.35,94.18,16.79,6.62,1.34,-2.39,2.57,29.32,,,
2024.00,5.00,5.00,18.00,0.10,98.74,17.93,6.44,1.26,-2.44,2.69,14.37,,,
2024.00,5.00,5.00,19.00,0.15,96.27,21.17,6.35,1.42,-2.07,2.47,13.12,,,
2024.00,5.00,5.00,20.00,0.21,93.79,17.85,6.27,1.57,-1.70,2.24,21.95,,,
2024.00,5.00,5.00,21.00,0.27,91.32,16.14,6.18,1.72,-1.33,2.02,27.25,,,
2024.00,5.00,5.00,22.00,14.80,79.76,19.28,6.18,1.79,-1.59,1.89,11.50,,,
2024.00,5.00,5.00,23.00,29.34,68.20,18.44,6.18,1.87,-1.84,1.76,15.13,,,
2022.00,3.00,26.00,0.00,130.97,18.08,14.34,5.59,-1.01,-1.20,0.61,50.02,,,
2022.00,3.00,26.00,1.00,129.45,19.05,18.35,5.48,-0.80,-1.27,0.62,149.85,,,
2022.00,3.00,26.00,2.00,127.93,20.02,21.59,5.36,-0.60,-1.35,0.64,392.38,,,
2022.00,3.00,26.00,3.00,126.41,20.99,19.50,5.24,-0.39,-1.42,0.65,411.09,,,
2022.00,3.00,26.00,4.00,122.65,26.55,18.26,5.22,-0.21,-0.20,1.82,99.24,,,
2022.00,3.00,26.00,5.00,118.89,32.11,19.28,5.19,-0.03,1.02,2.99,43.97,,,
2022.00,3.00,26.00,6.00,115.14,37.66,18.66,5.16,0.15,2.24,4.16,89.96,,,
2022.00,3.00,26.00,7.00,119.63,31.45,18.15,6.07,-0.38,1.48,4.47,72.04,,,
2022.00,3.00,26.00,8.00,124.11,25.23,20.78,6.97,-0.91,0.73,4.79,266.89,,,
2022.00,3.00,26.00,9.00,128.60,19.01,22.52,7.88,-1.44,-0.03,5.10,446.93,0.66,0.46,1.42
2022.00,3.00,26.00,10.00,153.27,21.62,17.54,7.68,-2.70,-0.97,3.68,526.08,,,
2022.00,3.00,26.00,11.00,177.94,24.23,18.98,7.47,-3.96,-1.92,2.27,51.96,,,
2022.00,3.00,26.00,12.00,202.60,26.84,18.78,7.27,-5.22,-2.86,0.85,71.77,,,
2022.00,3.00,26.00,13.00,179.09,25.19,19.24,7.65,-3.52,-2.51,2.12,50.20,,,
2022.00,3.00,26.00,14.00,155.58,23.53,18.89,8.03,-1.83,-2.15,3.40,77.34,,,
2022.00,3.00,26.00,15.00,132.07,21.88,20.19,8.42,-0.13,-1.80,4.67,68.78,,,
2022.00,3.00,26.00,16.00,139.13,22.02,20.93,7.19,-0.10,-0.58,3.42,130.24,,,
2022.00,3.00,26.00,17.00,146.20,22.16,21.73,5.95,-0.07,0.63,2.17,265.76,,,
2022.00,3.00,26.00,18.00,153.27,22.30,21.18,4.72,-0.04,1.85,0.92,66.81,,,
2022.00,3.00,26.00,19.00,159.88,23.59,20.66,4.68,0.20,1.22,0.61,137.20,,,
2022.00,3.00,26.00,20.00,166.49,24.87,21.14,4.63,0.45,0.59,0.30,74.65,,,
2022.00,3.00,26.00,21.00,173.11,26.15,24.50,4.59,0.69,-0.04,-0.02,16.58,,,
2022.00,3.00,26.00,22.00,169.61,25.74,19.70,4.58,1.25,0.21,0.21,117.27,,,
2022.00,3.00,26.00,23.00,166.12,25.33,17.30,4.57,1.81,0.46,0.43,376.80,,,
2019.00,11.00,22.00,0.00,41.96,34.27,8.08,13.56,2.29,-1.25,5.51,30.98,,,
2019.00,11.00,22.00,1.00,27.99,55.19,8.72,13.32,2.60,-1.24,5.36,25.85,,,
2019.00,11.00,22.00,2.00,14.01,76.10,10.03,13.08,2.91,-1.23,5.21,126.58,,,
2019.00,11.00,22.00,3.00,0.04,97.02,9.41,12.84,3.22,-1.22,5.06,144.48,,,
2019.00,11.00,22.00,4.00,21.15,70.90,7.85,14.58,3.69,-1.11,5.32,66.01,,,
2019.00,11.00,22.00,5.00,42.25,44.79,8.75,16.33,4.16,-0.99,5.59,66.67,,,
2019.00,11.00,22.00,6.00,63.35,18.67,7.77,18.07,4.62,-0.88,5.85,55.30,,,
2019.00,11.00,22.00,7.00,64.95,17.09,11.19,18.41,3.89,-0.39,4.76,97.47,,,
2019.00,11.00,22.00,8.00,66.55,15.51,10.13,18.75,3.15,0.11,3.67,13.25,,,
2019.00,11.00,22.00,9.00,68.14,13.94,10.07,19.10,2.41,0.60,2.58,66.96,,,
2019.00,11.00,22.00,10.00,60.20,16.34,9.52,19.46,1.77,0.17,2.47,48.10,,,
2019.00,11.00,22.00,11.00,52.25,18.75,8.56,19.82,1.13,-0.26,2.36,21.23,,,
2019.00,11.00,22.00,12.00,44.30,21.16,9.80,20.19,0.50,-0.69,2.25,70.99,,,
2019.00,11.00,22.00,13.00,49.00,20.37,9.29,19.56,0.95,-0.31,3.49,41.04,,,
2019.00,11.00,22.00,14.00,53.69,19.59,8.73,18.94,1.41,0.06,4.73,46.45,,,
2019.00,11.00,22.00,15.00,58.38,18.81,8.68,18.31,1.86,0.44,5.97,46.92,,,
2019.00,11.00,22.00,16.00,54.67,17.93,6.73,18.83,2.07,0.48,5.04,59.54,,,
2019.00,11.00,22.00,17.00,50.96,17.05,6.96,19.35,2.28,0.52,4.11,121.85,,,
2019.00,11.00,22.00,18.00,47.25,16.17,6.40,19.86,2.49,0.56,3.18,75.76,,,
